Questions,Answers,b,c,v,id,Text
Who was instructed by God to leave his home and family to travel to a country he did not know?,Abraham,1,12,1,1012001,"Now the LORD said to Abram, ""Go from your country and your kindred and your father's house to the land that I will show you."
"What was Jesus teaching about when he said ""What therefore God hath joined together let not man put asunder""?",Marriage ,40,19,6,40019006,"So they are no longer two but one flesh. What therefore God has joined together, let not man separate."""
Five of the Ten Virgins did not take enough of what?,Oil,40,25,3,40025003,"For when the foolish took their lamps, they took no oil with them,"
What was the name of Joseph's master in Egypt?,Potiphar,1,37,36,1037036,"Meanwhile the Midianites had sold him in Egypt to Potiphar, an officer of Pharaoh, the captain of the guard."
Aaron turned his rod into a serpent before Pharaoh and Pharaoh's magicians did likewise but what happened to their serpents?,Aaron's rod swallowed them,2,7,12,2007012,"For each man cast down his staff, and they became serpents. But Aaron's staff swallowed up their staffs."
What is the name of the angel who appeared to Mary?,Gabriel,42,1,26,42001026,"In the sixth month the angel Gabriel was sent from God to a city of Galilee named Nazareth,"
In what month of Elisabeth's pregnancy did the angel appear to Mary?,Sixth,42,1,26,42001026,"In the sixth month the angel Gabriel was sent from God to a city of Galilee named Nazareth,"
Which land did the Lord promise to Abram?,Canaan,1,17,8,1017008,"And I will give to you and to your offspring after you the land of your sojournings, all the land of Canaan, for an everlasting possession, and I will be their God."""
What was God to give Abraham as an everlasting possession?,The land of Canaan,1,17,8,1017008,"And I will give to you and to your offspring after you the land of your sojournings, all the land of Canaan, for an everlasting possession, and I will be their God."""
"What should we ""seek first""?",The Kingdom of God and his righteousness,40,6,33,40006033,"But seek first the kingdom of God and his righteousness, and all these things will be added to you."
In the parable of the ten virgins what were they waiting for?,Bridegroom,40,25,1,40025001,"""Then the kingdom of heaven will be like ten virgins who took their lamps and went to meet the bridegroom."
What event occurred to help release Paul and Silas from prison?,Earthquake,44,16,26,44016026,"and suddenly there was a great earthquake, so that the foundations of the prison were shaken. And immediately all the doors were opened, and everyone's bonds were unfastened."
Which prisoners experienced an earthquake after their prayer?,Paul and Silas,44,16,26,44016026,"and suddenly there was a great earthquake, so that the foundations of the prison were shaken. And immediately all the doors were opened, and everyone's bonds were unfastened."
Which prisoner did the crowd call for to be released when Pilate asked them?,Barabbas,40,27,21,40027021,"The governor again said to them, ""Which of the two do you want me to release for you?"" And they said, ""Barabbas."""
"How does James say we should ""treat the rich and the poor""?",Do not judge them but treat them impartially,59,2,1,59002001,"My brothers, show no partiality as you hold the faith in our Lord Jesus Christ, the Lord of glory."
"When Jesus asked ""whom say ye that I am?"" what did Peter reply?",Thou art the Christ the Son of the Living God,40,16,16,40016016,"Simon Peter replied, ""You are the Christ, the Son of the living God."""
What did King Solomon ask for when God appeared to him in a dream?,Wisdom ,11,3,9,11003009,"Give your servant therefore an understanding mind to govern your people, that I may discern between good and evil, for who is able to govern this your great people?"""
Who asked for an understanding heart to judge God's people?,Solomon,11,3,9,11003009,"Give your servant therefore an understanding mind to govern your people, that I may discern between good and evil, for who is able to govern this your great people?"""
What will happen to the people who do not accept the kingdom of God like a child?,They shall not enter,42,18,17,42018017,"Truly, I say to you, whoever does not receive the kingdom of God like a child shall not enter it."""
How did Jesus say we should receive the Kingdom of God?,As a little child,42,18,17,42018017,"Truly, I say to you, whoever does not receive the kingdom of God like a child shall not enter it."""
How did the angel of the Lord appear to Moses when he was a shepherd?,From within a burning bush,2,3,2,2003002,"And the angel of the LORD appeared to him in a flame of fire out of the midst of a bush. He looked, and behold, the bush was burning, yet it was not consumed."
Which of David's descendants will reign forever? ,Jesus,42,1,33,42001033,"and he will reign over the house of Jacob forever, and of his kingdom there will be no end."""
"The angel said to Mary that Jesus would ""reign over the house"" of which who?",Jacob,42,1,33,42001033,"and he will reign over the house of Jacob forever, and of his kingdom there will be no end."""
On what mountain did Moses receive the law from God?,Mount Sinai,3,26,46,3026046,These are the statutes and rules and laws that the LORD made between him and the people of Israel through Moses on Mount Sinai.
Which of his wives did Jacob love the most?,Rachel,1,29,30,1029030,"So Jacob went in to Rachel also, and he loved Rachel more than Leah, and served Laban for another seven years."
What was the name of the ark where the commandments given to Moses were to be kept?,Ark of the Covenant,5,10,2,5010002,"And I will write on the tablets the words that were on the first tablets that you broke, and you shall put them in the ark.'"
What did Jesus say to those who accused the adulteress?,He that is without sin let him first cast a stone,43,8,7,43008007,"And as they continued to ask him, he stood up and said to them, ""Let him who is without sin among you be the first to throw a stone at her."""
"Where is the ""best place to pray""? ",In your closet with the door shut ,40,6,6,40006006,"But when you pray, go into your room and shut the door and pray to your Father who is in secret. And your Father who sees in secret will reward you."
"What does James say happens if we ""draw nigh to God""?",He will draw nigh to us,59,4,8,59004008,"Draw near to God, and he will draw near to you. Cleanse your hands, you sinners, and purify your hearts, you double-minded."
Where was Jesus baptized?,River Jordan,41,1,9,41001009,In those days Jesus came from Nazareth of Galilee and was baptized by John in the Jordan.
"Which city ""came down from heaven prepared as a bride""?",New Jerusalem,66,21,2,66021002,"And I saw the holy city, new Jerusalem, coming down out of heaven from God, prepared as a bride adorned for her husband."
What did the New Jerusalem look like in the book of Revelation?,Like a bride,66,21,2,66021002,"And I saw the holy city, new Jerusalem, coming down out of heaven from God, prepared as a bride adorned for her husband."
At Capernaum how did the man sick of the palsy gain access to the house in which Jesus was?,Through the roof,41,2,4,41002004,"And when they could not get near him because of the crowd, they removed the roof above him, and when they had made an opening, they let down the bed on which the paralytic lay."
What did Pharaoh's dream of good and bad ears of wheat represent?,Seven years of plenty followed by seven years of famine ,1,41,29,1041029,"There will come seven years of great plenty throughout all the land of Egypt,"
To whom was the Revelation of Jesus Christ given?,John,66,1,1,66001001,"The revelation of Jesus Christ, which God gave him to show to his servants the things that must soon take place. He made it known by sending his angel to his servant John,"
